Task

Reconstruct the missing event in this basketball game. Use the available numerical time-series evidence around the marked row to select the most likely event.

Game

Team A versus Team B, season 22-23.

Time Series

| Game time | Marker | Team A score | Team B score | Team A win probability | Team B win probability |
| --- | --- | --- | --- | --- | --- |
| 12:00-1st |  | 0 | 0 | 0.406 | 0.594 |
| 11:46-1st |  | 2 | 0 | 0.436 | 0.564 |
| 11:30-1st |  | 2 | 2 | 0.407 | 0.593 |
| 11:13-1st |  | 2 | 2 | 0.394 | 0.606 |
| 11:09-1st |  | 2 | 2 | 0.389 | 0.611 |
| 11:05-1st |  | 2 | 2 | 0.404 | 0.596 |
| 11:01-1st |  | 2 | 2 | 0.409 | 0.591 |
| 10:50-1st |  | 4 | 2 | 0.437 | 0.563 |
| 10:31-1st |  | 4 | 2 | 0.462 | 0.538 |
| 10:17-1st |  | 4 | 2 | 0.445 | 0.555 |
| 10:14-1st |  | 4 | 2 | 0.463 | 0.537 |
| 10:09-1st |  | 4 | 2 | 0.463 | 0.537 |
| 9:59-1st |  | 4 | 2 | 0.444 | 0.556 |
| 9:57-1st |  | 4 | 2 | 0.463 | 0.537 |
| 9:50-1st |  | 4 | 2 | 0.445 | 0.555 |
| 9:44-1st |  | 6 | 2 | 0.489 | 0.511 |
| 9:36-1st |  | 6 | 5 | 0.442 | 0.558 |
| 9:20-1st |  | 9 | 5 | 0.491 | 0.509 |
| 9:08-1st |  | 9 | 7 | 0.465 | 0.535 |
| 8:46-1st |  | 9 | 7 | 0.447 | 0.553 |
| 8:44-1st |  | 9 | 7 | 0.441 | 0.559 |
| 8:37-1st |  | 9 | 7 | 0.46 | 0.54 |
| 8:34-1st |  | 9 | 7 | 0.467 | 0.533 |
| 8:20-1st |  | 11 | 7 | 0.494 | 0.506 |
| 8:16-1st |  | 11 | 8 | 0.496 | 0.504 |
| 8:03-1st |  | 11 | 8 | 0.477 | 0.523 |
| 8:00-1st |  | 11 | 8 | 0.47 | 0.53 |
| 7:47-1st |  | 11 | 10 | 0.443 | 0.557 |
| 7:33-1st |  | 11 | 10 | 0.425 | 0.575 |
| 7:31-1st |  | 11 | 10 | 0.419 | 0.581 |
| 7:26-1st |  | 11 | 10 | 0.438 | 0.562 |
| 7:23-1st |  | 11 | 12 | 0.394 | 0.606 |
| 7:08-1st |  | 11 | 12 | 0.37 | 0.63 |
| 6:53-1st |  | 11 | 12 | 0.395 | 0.605 |
| 6:49-1st |  | 13 | 12 | 0.42 | 0.58 |
| 6:38-1st |  | 13 | 12 | 0.44 | 0.56 |
| 6:35-1st |  | 13 | 12 | 0.446 | 0.554 |
| 6:23-1st |  | 15 | 12 | 0.475 | 0.525 |
| 6:02-1st |  | 15 | 14 | 0.448 | 0.552 |
| 5:41-1st |  | 18 | 14 | 0.503 | 0.497 |
| 5:28-1st |  | 18 | 16 | 0.478 | 0.522 |
| 5:13-1st |  | 20 | 16 | 0.505 | 0.495 |
| 4:56-1st |  | 20 | 16 | 0.506 | 0.494 |
| 4:54-1st |  | 20 | 16 | 0.528 | 0.472 |
| 4:50-1st |  | 20 | 16 | 0.535 | 0.465 |
| 4:41-1st |  | 22 | 16 | 0.563 | 0.437 |
| 4:29-1st |  | 22 | 18 | 0.536 | 0.464 |
| 4:13-1st |  | 22 | 18 | 0.516 | 0.484 |
| 4:06-1st |  | 24 | 18 | 0.565 | 0.435 |
| 3:52-1st |  | 24 | 20 | 0.539 | 0.461 |
| 3:42-1st |  | 26 | 20 | 0.566 | 0.434 |
| 3:32-1st |  | 26 | 20 | 0.594 | 0.406 |
| 3:25-1st |  | 29 | 20 | 0.649 | 0.351 |
| 3:03-1st |  | 29 | 23 | 0.598 | 0.402 |
| 2:46-1st |  | 29 | 23 | 0.638 | 0.362 |
| 2:37-1st |  | 29 | 23 | 0.571 | 0.429 |
| 2:24-1st |  | 29 | 23 | 0.593 | 0.407 |
| 2:21-1st |  | 29 | 23 | 0.6 | 0.4 |
| 2:13-1st |  | 29 | 23 | 0.58 | 0.42 |
| 2:09-1st |  | 29 | 23 | 0.573 | 0.427 |
| 2:02-1st |  | 29 | 23 | 0.602 | 0.398 |
| 1:45-1st |  | 31 | 23 | 0.626 | 0.374 |
| 1:35-1st |  | 31 | 25 | 0.602 | 0.398 |
| 1:19-1st |  | 33 | 25 | 0.628 | 0.372 |
| 1:02-1st |  | 33 | 25 | 0.654 | 0.346 |
| 57.1-1st |  | 33 | 27 | 0.604 | 0.396 |
| 39.1-1st |  | 33 | 27 | 0.584 | 0.416 |
