Task

Answer the following multiple-choice question.

Game

Team A versus Team B, season 22-23.

Play-by-play up to the critical moment

Play | Team A score | Team B score | Win prob (A) | Win prob (B)
Player 5 (Team A) vs. Player 5 (Team B) (Player 7 (Team B) gains possession) | 0 | 0 | 0.712 | 0.288
Player 3 (Team B) out of bounds lost ball turnover | 0 | 0 | 0.727 | 0.273
Player 5 (Team A) misses 16-foot jumper | 0 | 0 | 0.713 | 0.287
Player 5 (Team B) defensive rebound | 0 | 0 | 0.708 | 0.292
Player 7 (Team B) misses 10-foot jumper | 0 | 0 | 0.72 | 0.28
Player 4 (Team B) offensive rebound / Player 4 (Team B) misses tip shot | 0 | 0 | 0.72 | 0.28
Player 4 (Team B) offensive rebound | 0 | 0 | 0.708 | 0.292
Player 5 (Team B) makes 26-foot three point jumper (Player 4 (Team B) assists) | 0 | 3 | 0.663 | 0.337
Player 2 (Team A) misses 4-foot jumper / Player 2 (Team A) offensive rebound / Player 2 (Team A) misses tip shot / Team B defensive team rebound | 0 | 3 | 0.636 | 0.364
Player 4 (Team B) misses 26-foot three point jumper | 0 | 3 | 0.653 | 0.347
Player 11 (Team A) defensive rebound | 0 | 3 | 0.659 | 0.341
Player 5 (Team A) misses 26-foot three point jumper | 0 | 3 | 0.639 | 0.361
Player 3 (Team B) defensive rebound | 0 | 3 | 0.632 | 0.368
Player 5 (Team B) makes 15-foot jumper | 0 | 5 | 0.609 | 0.391
Player 2 (Team A) makes 26-foot three point jumper (Player 4 (Team A) assists) | 3 | 5 | 0.654 | 0.346
Player 7 (Team B) misses driving layup | 3 | 5 | 0.67 | 0.33
Player 7 (Team B) offensive rebound | 3 | 5 | 0.653 | 0.347
Player 7 (Team B) misses tip shot | 3 | 5 | 0.67 | 0.33
Player 1 (Team A) defensive rebound | 3 | 5 | 0.675 | 0.325
Player 5 (Team A) misses 23-foot three point jumper | 3 | 5 | 0.657 | 0.343
Team B defensive team rebound | 3 | 5 | 0.651 | 0.349
Player 4 (Team B) makes 2-foot two point shot | 3 | 7 | 0.627 | 0.373
Player 4 (Team A) misses driving floating jump shot | 3 | 7 | 0.605 | 0.395
Player 5 (Team B) defensive rebound | 3 | 7 | 0.598 | 0.402
Player 3 (Team B) makes two point shot (Player 7 (Team B) assists) | 3 | 9 | 0.571 | 0.429
Player 1 (Team A) misses 28-foot three point jumper | 3 | 9 | 0.548 | 0.452
Player 3 (Team B) defensive rebound | 3 | 9 | 0.54 | 0.46
Player 3 (Team B) makes driving layup / Player 5 (Team A) shooting foul / Player 3 (Team B) misses free throw 1 of 1 | 3 | 11 | 0.516 | 0.484
Player 1 (Team A) defensive rebound | 3 | 11 | 0.516 | 0.484
Player 4 (Team A) makes 27-foot three point jumper (Player 2 (Team A) assists) | 6 | 11 | 0.568 | 0.432
Player 5 (Team B) makes driving layup (Player 7 (Team B) assists) | 6 | 13 | 0.538 | 0.462
Player 4 (Team B) shooting foul / Player 1 (Team A) makes free throw 1 of 2 / Player 10 (Team B) enters the game for Player 4 (Team B) / Player 1 (Team A) makes free throw 2 of 2 | 8 | 13 | 0.563 | 0.437
Player 10 (Team B) misses driving layup | 8 | 13 | 0.582 | 0.418
Player 2 (Team A) defensive rebound | 8 | 13 | 0.589 | 0.411
Player 2 (Team A) out of bounds bad pass turnover / Team B Full timeout | 8 | 13 | 0.56 | 0.44
Player 10 (Team B) makes 13-foot two point shot | 8 | 15 | 0.533 | 0.467
Player 11 (Team A) makes 22-foot three point jumper (Player 1 (Team A) assists) | 11 | 15 | 0.584 | 0.416
Player 5 (Team B) misses 14-foot two point shot | 11 | 15 | 0.603 | 0.397
Player 11 (Team A) defensive rebound | 11 | 15 | 0.61 | 0.39
Player 1 (Team A) misses 26-foot three point jumper | 11 | 15 | 0.589 | 0.411
Player 10 (Team B) defensive rebound | 11 | 15 | 0.582 | 0.418
Player 7 (Team B) bad pass (Player 4 (Team A) steals) | 11 | 15 | 0.608 | 0.392
Player 1 (Team A) misses two point shot | 11 | 15 | 0.587 | 0.413
Player 5 (Team B) defensive rebound | 11 | 15 | 0.579 | 0.421
Player 4 (Team A) blocks Player 7 (Team B)'s driving layup / Team B offensive team rebound / Player 8 (Team A) enters the game for Player 11 (Team A) | 11 | 15 | 0.579 | 0.421
Player 11 (Team B) misses three point jumper | 11 | 15 | 0.6 | 0.4
Player 10 (Team B) offensive rebound | 11 | 15 | 0.579 | 0.421
Player 10 (Team B) makes two point shot | 11 | 17 | 0.551 | 0.449
Player 2 (Team A) misses 19-foot pullup jump shot | 11 | 17 | 0.528 | 0.472
Player 10 (Team B) defensive rebound | 11 | 17 | 0.52 | 0.48
Player 3 (Team B) misses 19-foot pullup jump shot | 11 | 17 | 0.54 | 0.46
Player 8 (Team A) defensive rebound | 11 | 17 | 0.547 | 0.453
Player 1 (Team A) makes driving layup (Player 8 (Team A) assists) / Player 5 (Team B) shooting foul / Player 8 (Team B) enters the game for Player 11 (Team B) / Player 12 (Team A) enters the game for Player 5 (Team A) / Player 1 (Team A) misses free throw 1 of 1 | 13 | 17 | 0.573 | 0.427
Player 3 (Team B) defensive rebound | 13 | 17 | 0.572 | 0.428
Player 12 (Team A) personal foul / Player 10 (Team A) enters the game for Player 1 (Team A) | 13 | 17 | 0.573 | 0.427
Player 10 (Team B) misses 21-foot jumper / Team A defensive team rebound | 13 | 17 | 0.6 | 0.4
Player 12 (Team A) traveling | 13 | 17 | 0.569 | 0.431
Player 7 (Team B) misses 18-foot step back jumpshot | 13 | 17 | 0.59 | 0.41
Player 12 (Team A) defensive rebound | 13 | 17 | 0.597 | 0.403
Player 4 (Team A) lost ball turnover (Player 5 (Team B) steals) | 13 | 17 | 0.566 | 0.434
Player 9 (Team A) enters the game for Player 4 (Team A) | 13 | 17 | 0.566 | 0.434
Player 10 (Team A) shooting foul / Player 3 (Team B) makes free throw 1 of 2 / Player 3 (Team B) makes free throw 2 of 2 | 13 | 19 | 0.54 | 0.46
Player 2 (Team A) makes 27-foot three pointer | 16 | 19 | 0.594 | 0.406
Player 10 (Team B) misses 26-foot three point jumper | 16 | 19 | 0.613 | 0.387
Player 5 (Team B) offensive rebound | 16 | 19 | 0.593 | 0.407
Player 8 (Team A) blocks Player 5 (Team B) 's 3-foot dunk | 16 | 19 | 0.613 | 0.387
Player 8 (Team B) offensive rebound | 16 | 19 | 0.593 | 0.407
Player 3 (Team B) misses 26-foot three point jumper | 16 | 19 | 0.612 | 0.388
Player 5 (Team B) offensive rebound | 16 | 19 | 0.592 | 0.408
Player 5 (Team B) misses two point shot | 16 | 19 | 0.612 | 0.388
Player 2 (Team A) defensive rebound | 16 | 19 | 0.619 | 0.381
Player 10 (Team A) misses 6-foot hook shot | 16 | 19 | 0.598 | 0.402
Player 12 (Team A) offensive rebound | 16 | 19 | 0.618 | 0.382
Player 2 (Team A) makes 27-foot three point jumper (Player 10 (Team A) assists) / Team B Full timeout / Player 9 (Team B) enters the game for Player 10 (Team B) / Player 4 (Team B) enters the game for Player 7 (Team B) / Player 6 (Team B) enters the game for Player 5 (Team B) | 19 | 19 | 0.67 | 0.33
Player 8 (Team B) makes driving layup | 19 | 21 | 0.643 | 0.357
Player 12 (Team A) makes layup (Player 2 (Team A) assists) | 21 | 21 | 0.668 | 0.332
Player 3 (Team B) misses driving layup | 21 | 21 | 0.684 | 0.316
Player 8 (Team A) defensive rebound | 21 | 21 | 0.689 | 0.311
Player 8 (Team B) blocks Player 12 (Team A) 's 3-foot layup | 21 | 21 | 0.672 | 0.328
Player 4 (Team B) defensive rebound | 21 | 21 | 0.666 | 0.334
Player 8 (Team B) makes two point shot (Player 4 (Team B) assists) | 21 | 23 | 0.639 | 0.361
Player 10 (Team A) makes 4-foot two point shot | 23 | 23 | 0.664 | 0.336
Player 8 (Team B) makes driving layup / Player 12 (Team A) defensive goaltending violation / Player 10 (Team A) shooting foul / Player 13 (Team B) enters the game for Player 3 (Team B) / Player 8 (Team B) makes free throw 1 of 1 | 23 | 26 | 0.608 | 0.392
Player 12 (Team A) misses 24-foot three point jumper | 23 | 26 | 0.586 | 0.414
Player 8 (Team B) defensive rebound | 23 | 26 | 0.579 | 0.421
Player 8 (Team B) makes two point shot | 23 | 28 | 0.553 | 0.447
Player 2 (Team A) misses 25-foot three point pullup jump shot | 23 | 28 | 0.527 | 0.473
Player 4 (Team B) defensive rebound | 23 | 28 | 0.519 | 0.481
Player 4 (Team B) makes two point shot | 23 | 30 | 0.49 | 0.51
End of the 1st Quarter | 23 | 30 | 0.474 | 0.526
Player 1 (Team A) enters the game for Player 2 (Team A) | 23 | 30 | 0.474 | 0.526
Player 8 (Team A) misses 10-foot two point shot | 23 | 30 | 0.462 | 0.538
Player 12 (Team A) offensive rebound | 23 | 30 | 0.485 | 0.515
Player 12 (Team A) makes tip shot | 25 | 30 | 0.511 | 0.489
Player 9 (Team B) lost ball turnover (Player 1 (Team A) steals) | 25 | 30 | 0.542 | 0.458
Player 1 (Team A) lost ball turnover (Player 9 (Team B) steals) | 25 | 30 | 0.508 | 0.492
Player 4 (Team B) makes two point shot (Player 8 (Team B) assists) | 25 | 32 | 0.48 | 0.52
Player 10 (Team A) makes three point jumper (Player 8 (Team A) assists) | 28 | 32 | 0.535 | 0.465
Player 8 (Team B) misses two point shot | 28 | 32 | 0.557 | 0.443
Player 10 (Team A) defensive rebound | 28 | 32 | 0.564 | 0.436
Player 9 (Team A) misses 25-foot three point jumper | 28 | 32 | 0.54 | 0.46
Player 9 (Team B) defensive rebound | 28 | 32 | 0.532 | 0.468
Player 9 (Team A) personal foul | 28 | 32 | 0.533 | 0.467
Player 9 (Team B) makes 2-foot layup (Player 6 (Team B) assists) | 28 | 34 | 0.504 | 0.496
Player 6 (Team B) personal foul | 28 | 34 | 0.502 | 0.498
Player 6 (Team B) shooting foul / Player 1 (Team A) misses free throw 1 of 2 / Team A offensive team rebound / Player 1 (Team A) makes free throw 2 of 2 | 29 | 34 | 0.499 | 0.501
Player 13 (Team B) makes driving floating jump shot | 29 | 36 | 0.467 | 0.533
Player 1 (Team A) misses 25-foot three point pullup jump shot | 29 | 36 | 0.441 | 0.559
Player 9 (Team B) defensive rebound | 29 | 36 | 0.432 | 0.568
Player 8 (Team B) makes layup (Player 6 (Team B) assists) | 29 | 38 | 0.402 | 0.598
Player 8 (Team A) offensive foul / Player 8 (Team A) turnover / Player 5 (Team A) enters the game for Player 9 (Team A) / Player 2 (Team A) enters the game for Player 8 (Team A) / Player 4 (Team A) enters the game for Player 12 (Team A) | 29 | 38 | 0.37 | 0.63
Player 10 (Team A) blocks Player 9 (Team B)'s layup | 29 | 38 | 0.392 | 0.608
Team A defensive team rebound | 29 | 38 | 0.399 | 0.601
Player 13 (Team B) blocks Player 2 (Team A) 's 6-foot layup / Player 4 (Team B) defensive rebound | 29 | 38 | 0.367 | 0.633
Player 8 (Team B) makes dunk (Player 4 (Team B) assists) | 29 | 40 | 0.336 | 0.664
Player 4 (Team A) bad pass (Player 8 (Team B) steals) | 29 | 40 | 0.304 | 0.696
Player 9 (Team B) makes 26-foot three point jumper (Player 4 (Team B) assists) | 29 | 43 | 0.249 | 0.751
Team A Full timeout / Player 9 (Team A) enters the game for Player 10 (Team A) / Player 8 (Team A) enters the game for Player 4 (Team A) | 29 | 43 | 0.248 | 0.752
Player 2 (Team A) makes layup (Player 1 (Team A) assists) | 31 | 43 | 0.274 | 0.726
Player 13 (Team B) out of bounds lost ball turnover | 31 | 43 | 0.3 | 0.7
Player 13 (Team B) shooting foul / Player 8 (Team A) makes free throw 1 of 2 / Player 8 (Team A) makes free throw 2 of 2 | 33 | 43 | 0.326 | 0.674
Player 9 (Team B) misses 24-foot three point jumper | 33 | 43 | 0.349 | 0.651
Player 1 (Team A) defensive rebound | 33 | 43 | 0.356 | 0.644
Player 9 (Team A) misses 24-foot three point jumper | 33 | 43 | 0.33 | 0.67
Player 8 (Team B) defensive rebound | 33 | 43 | 0.321 | 0.679
Player 9 (Team B) offensive foul / Player 9 (Team B) turnover / Player 3 (Team B) enters the game for Player 6 (Team B) / Player 5 (Team B) enters the game for Player 9 (Team B) / Player 7 (Team B) enters the game for Player 4 (Team B) | 33 | 43 | 0.354 | 0.646
Player 2 (Team A) misses 23-foot three point jumper | 33 | 43 | 0.325 | 0.675
Player 5 (Team B) defensive rebound | 33 | 43 | 0.316 | 0.684
Player 8 (Team A) shooting foul / Player 13 (Team B) misses free throw 1 of 2 / Team B offensive team rebound / Player 13 (Team B) makes free throw 2 of 2 | 33 | 44 | 0.318 | 0.682
Player 9 (Team A) makes 24-foot three point jumper (Player 5 (Team A) assists) | 36 | 44 | 0.376 | 0.624
Player 5 (Team B) misses alley oop dunk shot | 36 | 44 | 0.398 | 0.602
Player 5 (Team A) defensive rebound | 36 | 44 | 0.406 | 0.594
Player 2 (Team A) makes 14-foot jumper (Player 9 (Team A) assists) | 38 | 44 | 0.439 | 0.561
Player 13 (Team B) misses pullup jump shot | 38 | 44 | 0.46 | 0.54
Player 1 (Team A) defensive rebound | 38 | 44 | 0.468 | 0.532
Player 8 (Team B) shooting foul / Player 2 (Team A) makes free throw 1 of 2 / Player 11 (Team B) enters the game for Player 8 (Team B) / Player 2 (Team A) misses free throw 2 of 2 | 39 | 44 | 0.465 | 0.535
Player 5 (Team B) defensive rebound | 39 | 44 | 0.464 | 0.536
Player 5 (Team B) traveling | 39 | 44 | 0.496 | 0.504
Player 1 (Team A) makes driving layup | 41 | 44 | 0.524 | 0.476
Player 7 (Team B) misses two point shot | 41 | 44 | 0.55 | 0.45
Player 2 (Team A) defensive rebound | 41 | 44 | 0.558 | 0.442
Player 1 (Team A) makes driving layup | 43 | 44 | 0.588 | 0.412
Player 3 (Team B) misses driving layup | 43 | 44 | 0.611 | 0.389
Player 5 (Team A) defensive rebound / Player 1 (Team A) makes two point shot (Player 5 (Team A) assists) | 45 | 44 | 0.649 | 0.351
Team B Full timeout / Player 4 (Team B) enters the game for Player 13 (Team B) | 45 | 44 | 0.649 | 0.351
Player 11 (Team B) misses 26-foot three point jumper | 45 | 44 | 0.669 | 0.331
Player 1 (Team A) defensive rebound | 45 | 44 | 0.676 | 0.324
Player 1 (Team A) misses 27-foot step back jumpshot | 45 | 44 | 0.654 | 0.346
Player 4 (Team B) defensive rebound | 45 | 44 | 0.647 | 0.353
Player 2 (Team A) shooting foul / Player 3 (Team B) misses free throw 1 of 2 / Team B offensive team rebound / Player 3 (Team B) makes free throw 2 of 2 | 45 | 45 | 0.648 | 0.352
Player 2 (Team A) makes 16-foot step back jumpshot | 47 | 45 | 0.675 | 0.325
Player 5 (Team B) makes 25-foot three point jumper (Player 11 (Team B) assists) | 47 | 48 | 0.612 | 0.388
Player 1 (Team A) makes 28-foot three point jumper (Player 9 (Team A) assists) | 50 | 48 | 0.673 | 0.327
Player 3 (Team B) makes 25-foot three point jumper (Player 4 (Team B) assists) | 50 | 51 | 0.609 | 0.391
Player 5 (Team A) misses 26-foot three point jumper | 50 | 51 | 0.582 | 0.418
Player 2 (Team A) offensive rebound | 50 | 51 | 0.606 | 0.394
Player 2 (Team A) makes tip shot | 52 | 51 | 0.637 | 0.363
Player 7 (Team B) bad pass (Player 5 (Team A) steals) | 52 | 51 | 0.668 | 0.332
Player 1 (Team A) makes layup | 54 | 51 | 0.7 | 0.3
Player 5 (Team B) makes 15-foot jumper | 54 | 53 | 0.667 | 0.333
Player 2 (Team A) misses 29-foot three point jumper | 54 | 53 | 0.64 | 0.36
Player 5 (Team B) defensive rebound | 54 | 53 | 0.632 | 0.368
Player 3 (Team B) makes 20-foot jumper | 54 | 55 | 0.599 | 0.401
Player 1 (Team A) misses jumper / Team A offensive team rebound / End of the 2nd Quarter | 54 | 55 | 0.583 | 0.417
Player 11 (Team A) enters the game for Player 9 (Team A) / Player 4 (Team A) enters the game for Player 8 (Team A) | 54 | 55 | 0.583 | 0.417
Player 4 (Team A) makes 26-foot three pointer (Player 1 (Team A) assists) | 57 | 55 | 0.666 | 0.334
Player 5 (Team B) lost ball turnover (Player 11 (Team A) steals) | 57 | 55 | 0.695 | 0.305
Player 1 (Team A) misses running pullup jump shot | 57 | 55 | 0.672 | 0.328
Team B defensive team rebound | 57 | 55 | 0.665 | 0.335
Player 11 (Team B) misses 27-foot three point pullup jump shot | 57 | 55 | 0.687 | 0.313
Player 1 (Team A) defensive rebound | 57 | 55 | 0.694 | 0.306
Player 2 (Team A) makes 29-foot three pointer | 60 | 55 | 0.754 | 0.246
Player 3 (Team B) makes 27-foot three point jumper (Player 5 (Team B) assists) | 60 | 58 | 0.693 | 0.307
Player 4 (Team A) makes driving layup (Player 2 (Team A) assists) | 62 | 58 | 0.72 | 0.28
Player 5 (Team B) misses 27-foot three point jumper | 62 | 58 | 0.745 | 0.255
Player 11 (Team B) offensive rebound | 62 | 58 | 0.72 | 0.28
Player 4 (Team A) shooting foul / Player 7 (Team B) makes free throw 1 of 2 / Player 7 (Team B) makes free throw 2 of 2 | 62 | 60 | 0.691 | 0.309
Player 2 (Team A) lost ball turnover (Player 11 (Team B) steals) | 62 | 60 | 0.657 | 0.343
Player 4 (Team B) makes driving layup | 62 | 62 | 0.625 | 0.375
Player 5 (Team A) makes 23-foot three point jumper (Player 1 (Team A) assists) | 65 | 62 | 0.689 | 0.311
Player 4 (Team A) personal foul | 65 | 62 | 0.688 | 0.312
Player 4 (Team B) misses driving floating jump shot | 65 | 62 | 0.714 | 0.286
Player 4 (Team A) defensive rebound | 65 | 62 | 0.722 | 0.278
Player 5 (Team A) out of bounds bad pass turnover | 65 | 62 | 0.688 | 0.312
Player 4 (Team B) misses 27-foot three point jumper | 65 | 62 | 0.713 | 0.287
Player 5 (Team A) defensive rebound | 65 | 62 | 0.721 | 0.279
Player 7 (Team B) blocks Player 1 (Team A)'s two point shot / Team A offensive team rebound | 65 | 62 | 0.721 | 0.279
Player 4 (Team A) misses 27-foot three point jumper | 65 | 62 | 0.695 | 0.305
Player 11 (Team A) offensive rebound | 65 | 62 | 0.721 | 0.279
Player 2 (Team A) misses 26-foot three point jumper | 65 | 62 | 0.695 | 0.305
Player 4 (Team B) defensive rebound | 65 | 62 | 0.686 | 0.314
Player 7 (Team B) makes 2-foot dunk (Player 4 (Team B) assists) | 65 | 64 | 0.65 | 0.35
Player 11 (Team A) misses 25-foot three point jumper | 65 | 64 | 0.621 | 0.379
Player 5 (Team B) defensive rebound | 65 | 64 | 0.612 | 0.388
Player 5 (Team A) shooting foul / Player 5 (Team B) makes free throw 1 of 2 / Player 10 (Team B) enters the game for Player 4 (Team B) / Player 12 (Team A) enters the game for Player 11 (Team A) / Player 5 (Team B) makes free throw 2 of 2 | 65 | 66 | 0.577 | 0.423
Player 4 (Team A) misses driving layup | 65 | 66 | 0.546 | 0.454
Player 5 (Team A) offensive rebound / Player 1 (Team A) makes 26-foot three point jumper (Player 5 (Team A) assists) | 68 | 66 | 0.648 | 0.352
Player 1 (Team A) personal foul / Team B Full timeout / Player 8 (Team A) enters the game for Player 1 (Team A) | 68 | 66 | 0.65 | 0.35
Player 11 (Team B) makes 2-foot two point shot (Player 3 (Team B) assists) | 68 | 68 | 0.614 | 0.386
Player 5 (Team A) misses 27-foot three point jumper | 68 | 68 | 0.58 | 0.42
Player 12 (Team A) offensive rebound | 68 | 68 | 0.612 | 0.388
Player 2 (Team A) bad pass (Player 10 (Team B) steals) | 68 | 68 | 0.568 | 0.432
Player 10 (Team B) makes 27-foot three point shot (Player 7 (Team B) assists) | 68 | 71 | 0.49 | 0.51
Player 4 (Team A) misses 24-foot three point jumper | 68 | 71 | 0.453 | 0.547
Player 5 (Team B) defensive rebound | 68 | 71 | 0.441 | 0.559
Player 11 (Team B) makes 26-foot three point shot (Player 7 (Team B) assists) | 68 | 74 | 0.363 | 0.637
Player 8 (Team A) misses pullup jump shot | 68 | 74 | 0.329 | 0.671
Player 3 (Team B) defensive rebound | 68 | 74 | 0.318 | 0.682
Player 8 (Team A) shooting foul / Player 3 (Team B) makes free throw 1 of 2 / Player 3 (Team B) makes free throw 2 of 2 | 68 | 76 | 0.277 | 0.723
Player 2 (Team A) misses 10-foot two point shot | 68 | 76 | 0.249 | 0.751
Player 12 (Team A) offensive rebound | 68 | 76 | 0.274 | 0.726
Player 2 (Team A) bad pass (Player 11 (Team B) steals) | 68 | 76 | 0.238 | 0.762
Player 5 (Team A) shooting foul / Player 10 (Team B) misses free throw 1 of 2 / Team B offensive team rebound / Player 8 (Team B) enters the game for Player 11 (Team B) / Player 10 (Team A) enters the game for Player 5 (Team A) / Player 10 (Team B) misses free throw 2 of 2 | 68 | 76 | 0.273 | 0.727
Player 8 (Team A) defensive rebound | 68 | 76 | 0.272 | 0.728
Player 2 (Team A) makes 26-foot three point jumper (Player 4 (Team A) assists) | 71 | 76 | 0.348 | 0.652
Player 8 (Team B) makes two point shot | 71 | 78 | 0.302 | 0.698
Player 9 (Team A) enters the game for Player 4 (Team A) | 71 | 78 | 0.302 | 0.698
Player 2 (Team A) misses 26-foot three point pullup jump shot | 71 | 78 | 0.275 | 0.725
Player 5 (Team B) defensive rebound | 71 | 78 | 0.266 | 0.734
Player 5 (Team B) makes layup (Player 8 (Team B) assists) | 71 | 80 | 0.226 | 0.774
Player 12 (Team A) misses 24-foot three point jumper | 71 | 80 | 0.193 | 0.807
Player 7 (Team B) defensive rebound | 71 | 80 | 0.183 | 0.817
Player 12 (Team A) shooting foul / Player 8 (Team B) makes free throw 1 of 2 / Player 9 (Team B) enters the game for Player 7 (Team B) / Player 6 (Team B) enters the game for Player 5 (Team B) / Player 8 (Team B) misses free throw 2 of 2 | 71 | 81 | 0.185 | 0.815
Player 10 (Team A) defensive rebound | 71 | 81 | 0.184 | 0.816
Player 9 (Team A) misses 25-foot three point jumper | 71 | 81 | 0.162 | 0.838
Team A offensive team rebound / Player 9 (Team B) loose ball foul | 71 | 81 | 0.184 | 0.816
Player 12 (Team A) misses 10-foot hook shot / Player 8 (Team B) defensive rebound | 71 | 81 | 0.152 | 0.848
Player 8 (Team B) lost ball turnover (Player 2 (Team A) steals) | 71 | 81 | 0.179 | 0.821
Player 2 (Team A) makes two point shot | 73 | 81 | 0.209 | 0.791
Player 10 (Team B) makes 24-foot three point jumper (Player 8 (Team B) assists) | 73 | 84 | 0.147 | 0.853
